P. Name,P. Mass Class,P. Composition Class,P. Habitable Class,P. Habitable,DRS_nu,a1,a2,a3,a4,a5,rho,nu
Kepler-60 d,Terran,rocky-water,non-habitable,0,-2.500617,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-61 b,Superterran,rocky-iron,mesoplanet,1,-1.99801,0.1,0.1,0.6,0.1,0.1,1,0.99
Kepler-62 b,Terran,rocky-iron,non-habitable,0,-1.930219,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-62 c,Subterran,rocky-iron,non-habitable,0,-1.386581,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-62 d,Superterran,rocky-iron,non-habitable,0,-1.804459,0.1,0.1,0.6,0.1,0.1,1,0.99
Kepler-62 e,Superterran,rocky-iron,mesoplanet,1,-1.377262,0.1,0.1,0.6,0.1,0.1,1,0.99
Kepler-62 f,Terran,rocky-iron,psychroplanet,1,-1.168322,0.442939,0.1,0.257061,0.1,0.1,1,0.99
Kepler-65 b,Terran,rocky-iron,non-habitable,0,-4.014328,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-65 c,Neptunian,rocky-iron,non-habitable,0,-3.392913,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-65 d,Terran,rocky-iron,non-habitable,0,-2.798141,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-68 b,Superterran,rocky-water,non-habitable,0,-2.880796,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-68 c,Terran,rocky-iron,non-habitable,0,-2.299944,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-69 b,Superterran,rocky-iron,non-habitable,0,-2.357898,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-69 c,Superterran,rocky-iron,non-habitable,0,-1.502284,0.1,0.1,0.6,0.1,0.1,1,0.99
Kepler-70  b,Subterran,rocky-iron,non-habitable,0,-14.727591,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-70 c,Terran,rocky-iron,non-habitable,0,-13.159038,0.1,0.1,0.1,0.6,0.1,1,0.99
