P. Name,P. Mass Class,P. Composition Class,P. Habitable Class,P. Habitable,CES_CRS_nu,a1,a2,a3,a4,a5,rho,nu
K2-78 b,Terran,rocky-iron,non-habitable,0,-3.19025,0.1,0.1,0.1,0.6,0.1,1,1
K2-80 b,Superterran,rocky-iron,non-habitable,0,-1.931153,0.1,0.1,0.6,0.1,0.1,1,1
K2-80 c,Terran,rocky-iron,non-habitable,0,-2.389042,0.1,0.1,0.1,0.6,0.1,1,1
K2-81 b,Superterran,rocky-iron,non-habitable,0,-1.9605,0.1,0.1,0.1,0.6,0.1,1,1
K2-83 b,Terran,rocky-iron,non-habitable,0,-1.755458,0.1,0.1,0.1,0.6,0.1,1,1
K2-83 c,Terran,rocky-iron,non-habitable,0,-1.354542,0.1,0.1,0.1,0.6,0.1,1,1
K2-84 b,Superterran,rocky-iron,non-habitable,0,-2.754583,0.1,0.1,0.1,0.6,0.1,1,1
K2-84 c,Superterran,rocky-iron,non-habitable,0,-1.940236,0.1,0.1,0.6,0.1,0.1,1,1
K2-85 b,Terran,rocky-iron,non-habitable,0,-2.842,0.1,0.1,0.1,0.6,0.1,1,1
K2-86 b,Superterran,rocky-iron,non-habitable,0,-2.217,0.1,0.1,0.1,0.6,0.1,1,1
K2-88 b,Terran,rocky-iron,non-habitable,0,-1.303083,0.1,0.1,0.1,0.6,0.1,1,1
K2-89 b,Subterran,rocky-iron,non-habitable,0,-1.832583,0.1,0.1,0.1,0.6,0.1,1,1
K2-90 b,Superterran,rocky-iron,non-habitable,0,-1.900458,0.1,0.1,0.6,0.1,0.1,1,1
K2-90 c,Terran,rocky-iron,non-habitable,0,-1.8215,0.1,0.1,0.1,0.6,0.1,1,1
K2-91 b,Terran,rocky-iron,non-habitable,0,-1.75025,0.1,0.1,0.1,0.6,0.1,1,1
K2-95 b,Neptunian,rocky-water,non-habitable,0,-8.791931,0.1,0.1,0.6,0.1,0.1,1,1
Kapteyn b,Terran,rocky-iron,psychroplanet,1,-1.405486,0.1,0.1,0.6,0.1,0.1,1,1
Kapteyn c,Superterran,rocky-iron,non-habitable,0,-1.571257,0.1,0.1,0.6,0.1,0.1,1,1
Kepler-9 d,Superterran,rocky-water,non-habitable,0,-3.846333,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-10 b,Terran,rocky-iron,non-habitable,0,-4.657583,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-10 c,Superterran,rocky-iron,non-habitable,0,-2.319521,0.1,0.1,0.6,0.1,0.1,1,1
Kepler-18 b,Superterran,rocky-water,non-habitable,0,-3.019542,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-19 b,Superterran,rocky-iron,non-habitable,0,-2.342333,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-20 b,Superterran,rocky-iron,non-habitable,0,-2.928667,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-20 e,Terran,rocky-iron,non-habitable,0,-2.241542,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-20 f,Terran,rocky-iron,non-habitable,0,-1.654167,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-21 b,Superterran,rocky-iron,non-habitable,0,-4.247875,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-22 b,Superterran,rocky-iron,mesoplanet,1,-2.263674,0.1,0.1,0.6,0.1,0.1,1,1
Kepler-23 b,Superterran,rocky-iron,non-habitable,0,-2.934333,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-23 d,Superterran,rocky-iron,non-habitable,0,-2.620083,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-24 b,Superterran,rocky-iron,non-habitable,0,-2.736208,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-26 e,Superterran,rocky-iron,non-habitable,0,-2.375,0.1,0.1,0.6,0.1,0.1,1,1
Kepler-33 b,Superterran,rocky-iron,non-habitable,0,-3.39125,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-36 b,Terran,rocky-iron,non-habitable,0,-2.603542,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-37 b,Mercurian,rocky-iron,non-habitable,0,-1.544333,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-37 c,Subterran,rocky-iron,non-habitable,0,-1.462792,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-37 d,Superterran,rocky-iron,non-habitable,0,-1.796139,0.1,0.1,0.6,0.1,0.1,1,1
Kepler-42 b,Subterran,rocky-iron,non-habitable,0,-1.369583,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-42 c,Subterran,rocky-iron,non-habitable,0,-1.776542,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-42 d,Subterran,rocky-iron,non-habitable,0,-1.1715,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-48 b,Superterran,rocky-iron,non-habitable,0,-2.560917,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-48 c,Neptunian,rocky-water,non-habitable,0,-2.210792,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-48 d,Superterran,rocky-water,non-habitable,0,-1.686285,0.6,0.1,0.1,0.1,0.1,1,1
Kepler-49 d,Superterran,rocky-iron,non-habitable,0,-2.028167,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-49 e,Superterran,rocky-iron,non-habitable,0,-1.365993,0.1,0.1,0.6,0.1,0.1,1,1
Kepler-50 b,Superterran,rocky-iron,non-habitable,0,-3.493375,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-50 c,Neptunian,rocky-water,non-habitable,0,-3.249708,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-52 b,Superterran,rocky-iron,non-habitable,0,-2.046243,0.1,0.1,0.6,0.1,0.1,1,1
Kepler-52 c,Superterran,rocky-iron,non-habitable,0,-1.615174,0.1,0.1,0.6,0.1,0.1,1,1
Kepler-52 d,Superterran,rocky-iron,non-habitable,0,-1.749903,0.1,0.1,0.6,0.1,0.1,1,1
Kepler-53 d,Superterran,rocky-iron,non-habitable,0,-2.376375,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-54 b,Superterran,rocky-iron,non-habitable,0,-2.027458,0.1,0.1,0.6,0.1,0.1,1,1
Kepler-54 c,Terran,rocky-iron,non-habitable,0,-1.250375,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-54 d,Terran,rocky-iron,non-habitable,0,-1.318806,0.1,0.1,0.6,0.1,0.1,1,1
Kepler-55 b,Superterran,rocky-iron,non-habitable,0,-2.481118,0.1,0.1,0.6,0.1,0.1,1,1
Kepler-55 c,Superterran,rocky-iron,non-habitable,0,-2.125687,0.1,0.1,0.6,0.1,0.1,1,1
Kepler-55 d,Superterran,rocky-iron,non-habitable,0,-2.307458,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-55 e,Terran,rocky-iron,non-habitable,0,-1.89525,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-55 f,Superterran,rocky-iron,non-habitable,0,-1.587667,0.1,0.1,0.1,0.6,0.1,1,1
