P. Name,CRS_Yscore,DRS_Yscore,CRS_Norm,DRS_Norm
Kepler-245 c,2.082976,1.927293,0.0066160954,0.0115496948
Kepler-246 b,2.256192,2.071236,0.0071662763,0.0124123025
Kepler-246 c,1.453957,1.395053,0.0046181608,0.0083601385
Kepler-247 b,1.591417,1.512304,0.005054771,0.0090627889
Kepler-249 b,1.077348,1.066815,0.0034219488,0.0063931056
Kepler-249 c,1.457097,1.398069,0.0046281343,0.0083782125
Kepler-249 d,1.510343,1.443681,0.004797258,0.0086515517
Kepler-250 b,1.12478,1.108049,0.0035726056,0.0066402087
Kepler-250 c,2.18329,2.010833,0.0069347198,0.0120503252
Kepler-250 d,2.08299,1.927306,0.0066161398,0.0115497727
Kepler-251 b,1.308302,1.268526,0.0041555211,0.0076018997
Kepler-252 b,1.205314,1.179594,0.0038284034,0.0070689567
Kepler-252 c,2.062267,1.909921,0.006550318,0.0114455896
Kepler-253 b,1.573587,1.497251,0.0049981381,0.0089725808
Kepler-254 c,2.065803,1.912852,0.0065615493,0.0114631542
Kepler-254 d,2.416085,2.20376,0.0076741397,0.0132064795
Kepler-255 b,1.507539,1.440595,0.0047883518,0.0086330582
Kepler-256 b,1.566005,1.488718,0.0049740556,0.008921445
Kepler-256 c,2.082105,1.925553,0.0066133288,0.0115392675
Kepler-256 d,2.402,2.191777,0.0076294019,0.0131346689
Kepler-256 e,2.267123,2.080465,0.0072009961,0.0124676091
Kepler-260 b,1.923174,1.793446,0.006108521,0.0107475895
Kepler-260 c,1.66932,1.579268,0.005302212,0.0094640843
Kepler-261 b,2.083367,1.927649,0.0066173373,0.0115518282
Kepler-261 c,1.907281,1.780186,0.0060580405,0.0106681262
Kepler-262 b,1.328032,1.286223,0.004218189,0.0077079526
Kepler-262 c,1.580889,1.503885,0.0050213312,0.0090123364
Kepler-263 c,2.374183,2.169095,0.0075410476,0.0129987424
Kepler-265 b,1.797457,1.687099,0.0057092098,0.0101102835
Kepler-265 d,2.405299,2.194833,0.0076398804,0.0131529826
Kepler-266 b,2.398471,2.189033,0.0076181929,0.0131182249
Kepler-267 b,1.902957,1.776561,0.0060443063,0.0106464027
Kepler-267 c,2.043761,1.894563,0.0064915379,0.0113535536
Kepler-267 d,2.180627,2.008514,0.0069262614,0.0120364282
Kepler-269 b,2.380959,2.174634,0.00756257,0.013031936
Kepler-269 c,1.636083,1.55064,0.0051966423,0.0092925252
Kepler-270 b,1.92934,1.798322,0.0061281059,0.0107768099
Kepler-270 c,1.706672,1.610823,0.0054208521,0.0096531841
Kepler-271 b,0.897081,0.986962,0.002849372,0.0059145703
Kepler-271 c,1.00372,1.000795,0.0031880863,0.0059974673
Kepler-272 b,1.40462,1.351634,0.0044614532,0.0080999413
Kepler-272 c,1.729751,1.630145,0.0054941572,0.0097689751
Kepler-272 d,2.162228,1.993294,0.0068678212,0.0119452192
Kepler-273 b,1.467915,1.406069,0.0046624952,0.0084261541
Kepler-273 c,1.905882,1.778902,0.0060535969,0.0106604316
Kepler-274 b,1.487314,1.42356,0.0047241117,0.0085309725
Kepler-274 c,1.765728,1.660911,0.0056084299,0.0099533466
Kepler-275 b,2.25935,2.073711,0.0071763069,0.0124271344
Kepler-276 c,2.470475,2.221497,0.007846897,0.013312772
Kepler-276 d,2.413626,2.177928,0.0076663292,0.013051676
Kepler-277 b,3.508031,3.087721,0.0111424556,0.0185037953
Kepler-277 c,3.160795,2.798973,0.0100395402,0.0167734143
Kepler-279 c,3.581751,3.095488,0.0113766103,0.0185503407
